station,lat,lon,period,year_start,year_end,precip_annual_mean,precip_annual_std,precip_annual_min,precip_annual_max,t_med_mean,t_min_mean,t_max_mean,t_slope_per_decade,n_months,pct_extremely_dry,pct_severely_dry,pct_moderately_dry,pct_normal,pct_moderately_wet,pct_severely_wet,pct_extremely_wet,pct_any_dry,dominant_nonnormal
Falesti,47.583338,27.704996,p1,1961,1990,544.3,117.8,374.6,938.3,9.82,4.54,15.06,-0.02,358,2.0,3.6,12.8,63.4,12.3,4.7,1.1,18.4,Moderately Dry
Falesti,47.583338,27.704996,p2,1991,2020,550.6,112.6,388.3,828.4,9.77,4.53,15.03,-0.151,360,1.7,6.1,8.9,65.3,13.9,3.9,0.3,16.7,Moderately Wet
Leova,46.488363,28.28349,full,1961,2020,464.1,87.2,276.8,625.4,11.52,6.23,16.73,0.081,718,0.4,7.0,12.0,61.3,14.9,3.3,1.1,19.4,Moderately Wet
Leova,46.488363,28.28349,p1,1961,1990,481.5,75.4,366.1,625.4,11.45,6.16,16.66,0.116,358,0.3,5.0,11.2,64.2,15.4,2.8,1.1,16.5,Moderately Wet
Leova,46.488363,28.28349,p2,1991,2020,446.7,95.7,276.8,624.4,11.59,6.3,16.8,0.248,360,0.6,8.9,12.8,58.3,14.4,3.9,1.1,22.3,Moderately Wet
Rabnita,47.772418,29.016197,full,1961,2020,524.8,123.8,304.4,924.5,9.89,4.64,15.14,0.092,718,1.7,6.0,11.1,63.2,13.4,3.5,1.1,18.8,Moderately Wet
Rabnita,47.772418,29.016197,p1,1961,1990,524.3,112.1,364.7,767.0,9.76,4.53,15.05,0.156,358,1.7,5.6,10.9,64.8,12.6,3.4,1.1,18.2,Moderately Wet
Rabnita,47.772418,29.016197,p2,1991,2020,525.3,136.4,304.4,924.5,10.01,4.74,15.23,0.082,360,1.7,6.4,11.4,61.7,14.2,3.6,1.1,19.5,Moderately Wet
Soroca,48.198435,28.312,full,1961,2020,535.9,102.2,331.0,852.8,9.87,4.6,15.16,-0.016,718,1.5,5.7,12.0,63.6,12.4,3.8,1.0,19.2,Moderately Wet
Soroca,48.198435,28.312,p1,1961,1990,522.2,110.5,331.0,852.8,9.87,4.6,15.18,-0.051,358,1.4,6.1,11.2,66.2,12.6,2.2,0.3,18.7,Moderately Wet
Soroca,48.198435,28.312,p2,1991,2020,549.6,93.0,361.8,766.3,9.87,4.6,15.14,-0.086,360,1.7,5.3,12.8,61.1,12.2,5.3,1.7,19.8,Moderately Dry
Tiraspol,46.865628,29.584229,full,1961,2020,502.1,111.1,278.6,814.9,11.27,6.06,16.54,0.039,718,1.5,7.4,10.7,62.7,12.8,4.3,0.6,19.6,Moderately Wet
Tiraspol,46.865628,29.584229,p1,1961,1990,504.3,104.5,334.0,814.9,11.15,5.94,16.43,-0.13,358,1.7,6.4,10.3,62.6,14.0,4.5,0.6,18.4,Moderately Wet
Tiraspol,46.865628,29.584229,p2,1991,2020,500.0,119.2,278.6,757.0,11.4,6.18,16.64,-0.06,360,1.4,8.3,11.1,62.8,11.7,4.2,0.6,20.8,Moderately Wet
