station,period,year_start,year_end,month,precip_monthly_mean,precip_monthly_std,t_med_mean,t_min_mean,t_max_mean,spei3_mean
Cahul,full,1961,2020,2,29.6,21.6,0.66,-3.32,4.68,1.299
Cahul,full,1961,2020,3,31.0,19.6,5.39,0.48,10.46,1.066
Cahul,full,1961,2020,4,34.3,23.5,12.27,6.3,18.33,0.542
Cahul,full,1961,2020,5,52.7,33.4,17.42,11.42,23.48,-0.014
Cahul,full,1961,2020,6,58.6,43.8,21.72,15.72,27.72,-0.523
Cahul,full,1961,2020,7,54.8,33.0,23.85,17.88,29.89,-0.876
Cahul,full,1961,2020,8,45.9,31.2,22.81,16.71,28.79,-1.193
Cahul,full,1961,2020,9,41.3,32.9,17.67,11.7,23.78,-1.165
Cahul,full,1961,2020,10,34.1,21.3,11.38,6.46,16.43,-0.772
Cahul,full,1961,2020,11,33.5,20.2,5.59,0.56,10.61,-0.078
Cahul,full,1961,2020,12,33.7,22.7,0.74,-3.19,4.83,0.632
Cahul,p1,1961,1990,1,29.8,19.1,-1.31,-5.3,2.79,1.07
Cahul,p1,1961,1990,2,32.0,21.3,0.74,-3.2,4.71,1.276
Cahul,p1,1961,1990,3,30.5,19.7,5.58,0.65,10.57,1.071
Cahul,p1,1961,1990,4,32.6,20.3,12.48,6.55,18.57,0.519
Cahul,p1,1961,1990,5,53.0,38.5,17.37,11.36,23.41,-0.048
Cahul,p1,1961,1990,6,63.1,44.3,21.84,15.94,27.82,-0.507
Cahul,p1,1961,1990,7,51.7,28.2,23.83,17.92,29.81,-0.862
Cahul,p1,1961,1990,8,52.7,34.0,22.88,16.74,28.81,-1.124
Cahul,p1,1961,1990,9,33.7,19.3,17.66,11.6,23.77,-1.205
Cahul,p1,1961,1990,10,35.6,22.5,11.31,6.4,16.4,-0.767
Cahul,p1,1961,1990,11,30.9,17.1,5.39,0.28,10.44,-0.148
Cahul,p1,1961,1990,12,31.5,22.4,0.95,-2.99,4.95,0.607
Cahul,p2,1991,2020,1,30.0,26.4,-1.03,-5.03,2.85,1.172
Cahul,p2,1991,2020,2,27.2,22.1,0.57,-3.43,4.64,1.321
Cahul,p2,1991,2020,3,31.5,19.8,5.2,0.31,10.35,1.062
Cahul,p2,1991,2020,4,36.1,26.6,12.05,6.05,18.1,0.566
Cahul,p2,1991,2020,5,52.3,27.9,17.47,11.48,23.56,0.021
Cahul,p2,1991,2020,6,54.1,43.6,21.6,15.5,27.62,-0.539
Cahul,p2,1991,2020,7,57.8,37.5,23.86,17.84,29.97,-0.89
Cahul,p2,1991,2020,8,39.2,27.1,22.74,16.67,28.77,-1.262
Cahul,p2,1991,2020,9,49.0,41.3,17.68,11.8,23.79,-1.125
Cahul,p2,1991,2020,10,32.7,20.2,11.45,6.52,16.46,-0.778
Cahul,p2,1991,2020,11,36.2,22.9,5.8,0.84,10.78,-0.008
Cahul,p2,1991,2020,12,36.0,23.0,0.53,-3.39,4.71,0.656
Camenca,full,1961,2020,1,39.6,21.6,-3.18,-7.06,0.83,1.064
Camenca,full,1961,2020,2,28.0,18.7,-1.38,-5.28,2.66,1.187
Camenca,full,1961,2020,3,36.4,28.2,3.92,-0.95,8.96,1.073
Camenca,full,1961,2020,4,43.7,29.3,10.77,4.8,16.81,0.556
Camenca,full,1961,2020,5,51.5,33.9,15.9,9.88,21.96,-0.02
Camenca,full,1961,2020,6,78.8,49.6,19.75,13.8,25.78,-0.401
Camenca,full,1961,2020,7,66.4,46.1,22.01,16.04,27.99,-0.748
Camenca,full,1961,2020,8,55.0,36.3,21.23,15.27,27.23,-0.989
Camenca,full,1961,2020,9,47.2,32.3,16.34,10.35,22.42,-1.14
Camenca,full,1961,2020,10,34.1,21.1,10.16,5.2,15.17,-0.862
Camenca,full,1961,2020,11,35.6,24.1,3.89,-1.09,8.92,-0.163
Camenca,full,1961,2020,12,28.3,20.3,-1.24,-5.27,2.65,0.48
Camenca,p1,1961,1990,1,39.2,22.8,-3.41,-7.27,0.66,1.024
Camenca,p1,1961,1990,2,30.6,18.8,-1.28,-5.26,2.8,1.168
Camenca,p1,1961,1990,3,34.6,26.0,4.06,-0.87,9.06,1.068
Camenca,p1,1961,1990,4,45.4,36.8,10.57,4.7,16.66,0.584
Camenca,p1,1961,1990,5,48.2,30.8,15.58,9.63,21.65,-0.036
Camenca,p1,1961,1990,6,79.3,51.0,19.78,13.93,25.83,-0.388
Camenca,p1,1961,1990,7,73.9,49.0,21.97,16.03,27.86,-0.684
Camenca,p1,1961,1990,8,51.6,27.1,21.39,15.39,27.3,-0.949
Camenca,p1,1961,1990,9,43.5,25.1,16.43,10.43,22.49,-1.147
Camenca,p1,1961,1990,10,30.8,21.9,10.25,5.17,15.2,-0.985
Camenca,p1,1961,1990,11,36.3,26.8,4.1,-0.93,9.09,-0.248
Camenca,p1,1961,1990,12,24.4,15.0,-1.19,-5.19,2.67,0.4
Camenca,p2,1991,2020,1,40.1,20.8,-2.96,-6.85,1.01,1.103
Camenca,p2,1991,2020,2,25.4,18.4,-1.47,-5.31,2.52,1.204
Camenca,p2,1991,2020,3,38.2,30.5,3.78,-1.04,8.86,1.078
Camenca,p2,1991,2020,4,41.9,19.7,10.97,4.9,16.96,0.528
Camenca,p2,1991,2020,5,54.9,37.0,16.21,10.13,22.28,-0.004
Camenca,p2,1991,2020,6,78.4,49.0,19.72,13.66,25.73,-0.414
Camenca,p2,1991,2020,7,59.0,42.6,22.05,16.06,28.11,-0.812
Camenca,p2,1991,2020,8,58.3,43.8,21.07,15.14,27.16,-1.029
Camenca,p2,1991,2020,9,50.9,38.3,16.25,10.26,22.36,-1.134
Camenca,p2,1991,2020,10,37.3,20.2,10.08,5.23,15.14,-0.738
Camenca,p2,1991,2020,11,35.0,21.4,3.68,-1.24,8.75,-0.078
Camenca,p2,1991,2020,12,32.3,24.0,-1.3,-5.35,2.63,0.561
Ceadir-Lunga,full,1961,2020,1,33.8,25.0,-1.34,-5.38,2.64,1.159
Ceadir-Lunga,full,1961,2020,2,25.1,16.1,0.83,-3.22,4.8,1.259
Ceadir-Lunga,full,1961,2020,3,32.8,19.5,5.74,0.79,10.71,1.054
Ceadir-Lunga,full,1961,2020,4,39.5,26.6,12.81,6.83,18.74,0.504
Ceadir-Lunga,full,1961,2020,5,49.8,34.1,17.76,11.64,23.75,-0.05
Ceadir-Lunga,full,1961,2020,6,58.8,39.0,21.87,15.77,27.83,-0.571
Ceadir-Lunga,full,1961,2020,7,57.6,41.7,23.44,17.4,29.45,-0.905
Ceadir-Lunga,full,1961,2020,8,47.5,35.1,22.45,16.47,28.42,-1.15
Ceadir-Lunga,full,1961,2020,9,43.5,29.3,17.53,11.51,23.49,-1.089
Ceadir-Lunga,full,1961,2020,10,34.4,22.5,11.54,6.58,16.44,-0.743
Ceadir-Lunga,full,1961,2020,11,35.1,26.9,5.51,0.5,10.49,-0.053
Ceadir-Lunga,full,1961,2020,12,31.5,18.5,0.53,-3.51,4.53,0.624
Ceadir-Lunga,p1,1961,1990,1,36.0,25.2,-1.29,-5.32,2.62,1.247
Ceadir-Lunga,p1,1961,1990,2,25.4,17.1,0.95,-3.08,4.96,1.328
Ceadir-Lunga,p1,1961,1990,3,30.6,15.8,5.77,0.7,10.68,1.055
Ceadir-Lunga,p1,1961,1990,4,48.0,29.9,12.86,6.93,18.79,0.561
Ceadir-Lunga,p1,1961,1990,5,58.0,37.6,17.92,11.76,23.98,0.078
Ceadir-Lunga,p1,1961,1990,6,58.5,38.4,21.83,15.74,27.82,-0.422
Ceadir-Lunga,p1,1961,1990,7,62.4,41.4,23.28,17.19,29.35,-0.782
Ceadir-Lunga,p1,1961,1990,8,37.3,30.1,22.25,16.28,28.26,-1.186
Ceadir-Lunga,p1,1961,1990,9,40.2,26.9,17.66,11.66,23.6,-1.162
Ceadir-Lunga,p1,1961,1990,10,36.2,26.2,11.51,6.63,16.47,-0.85
Ceadir-Lunga,p1,1961,1990,11,40.3,31.7,5.43,0.59,10.38,-0.018
Ceadir-Lunga,p1,1961,1990,12,35.7,19.5,0.27,-3.67,4.4,0.743
Ceadir-Lunga,p2,1991,2020,1,31.7,24.9,-1.39,-5.44,2.67,1.074
Ceadir-Lunga,p2,1991,2020,2,24.9,15.4,0.71,-3.37,4.64,1.192
Ceadir-Lunga,p2,1991,2020,3,35.0,22.6,5.72,0.87,10.75,1.053
Ceadir-Lunga,p2,1991,2020,4,31.0,19.9,12.76,6.73,18.69,0.447
Ceadir-Lunga,p2,1991,2020,5,41.5,28.3,17.59,11.53,23.52,-0.177
Ceadir-Lunga,p2,1991,2020,6,59.1,40.3,21.92,15.79,27.84,-0.719
Ceadir-Lunga,p2,1991,2020,7,52.8,42.2,23.59,17.61,29.55,-1.028
Ceadir-Lunga,p2,1991,2020,8,57.8,37.3,22.65,16.66,28.57,-1.114
Ceadir-Lunga,p2,1991,2020,9,46.8,31.7,17.41,11.36,23.39,-1.016
Ceadir-Lunga,p2,1991,2020,10,32.6,18.4,11.58,6.54,16.42,-0.635
Ceadir-Lunga,p2,1991,2020,11,29.9,20.1,5.59,0.41,10.6,-0.087
Ceadir-Lunga,p2,1991,2020,12,27.2,16.6,0.8,-3.34,4.66,0.506
Chisinau,full,1961,2020,1,39.2,27.4,-2.72,-6.77,1.26,1.094
Chisinau,full,1961,2020,2,28.2,16.1,-1.11,-5.01,2.92,1.167
Chisinau,full,1961,2020,3,36.8,21.4,4.04,-0.96,9.05,1.042
Chisinau,full,1961,2020,4,38.8,30.9,11.31,5.16,17.23,0.494
Chisinau,full,1961,2020,5,52.5,38.2,15.92,9.83,21.99,-0.027
Chisinau,full,1961,2020,6,72.8,67.3,20.14,14.12,26.14,-0.457
Chisinau,full,1961,2020,7,57.9,42.3,22.13,16.16,28.1,-0.794
Chisinau,full,1961,2020,8,56.0,39.0,21.17,15.16,27.17,-1.013
Chisinau,full,1961,2020,9,37.8,27.1,16.11,10.08,22.21,-1.156
Chisinau,full,1961,2020,10,36.2,23.4,9.92,4.93,14.9,-0.776
Chisinau,full,1961,2020,11,38.6,23.6,3.99,-0.99,9.02,-0.116
Chisinau,full,1961,2020,12,31.2,23.3,-0.74,-4.89,3.33,0.579
Chisinau,p1,1961,1990,1,36.7,28.2,-2.81,-6.83,1.21,0.99
Chisinau,p1,1961,1990,2,28.1,16.0,-0.74,-4.57,3.33,1.094
Chisinau,p1,1961,1990,3,35.0,20.5,4.24,-0.83,9.15,0.984
Chisinau,p1,1961,1990,4,40.4,30.5,11.12,4.94,17.08,0.485
Chisinau,p1,1961,1990,5,58.1,40.6,15.94,9.75,21.97,0.023
Chisinau,p1,1961,1990,6,78.5,86.9,20.24,14.18,26.18,-0.329
Chisinau,p1,1961,1990,7,56.2,42.5,22.09,16.15,28.12,-0.705
Chisinau,p1,1961,1990,8,49.8,37.7,21.54,15.52,27.51,-1.055
Chisinau,p1,1961,1990,9,43.3,26.0,16.27,10.23,22.36,-1.203
Chisinau,p1,1961,1990,10,35.0,21.6,9.74,4.78,14.81,-0.812
Chisinau,p1,1961,1990,11,35.0,22.1,3.77,-1.25,8.75,-0.098
Chisinau,p1,1961,1990,12,27.4,22.2,-0.66,-4.78,3.42,0.513
Chisinau,p2,1991,2020,1,41.8,26.8,-2.63,-6.71,1.32,1.195
Chisinau,p2,1991,2020,2,28.4,16.5,-1.48,-5.45,2.5,1.238
Chisinau,p2,1991,2020,3,38.6,22.5,3.84,-1.08,8.96,1.1
Chisinau,p2,1991,2020,4,37.2,31.7,11.5,5.38,17.38,0.503
Chisinau,p2,1991,2020,5,47.0,35.4,15.91,9.9,22.0,-0.077
Chisinau,p2,1991,2020,6,67.1,40.1,20.05,14.05,26.09,-0.585
Chisinau,p2,1991,2020,7,59.7,42.8,22.17,16.17,28.07,-0.882
Chisinau,p2,1991,2020,8,62.3,39.9,20.8,14.81,26.83,-0.97
Chisinau,p2,1991,2020,9,32.3,27.3,15.95,9.93,22.06,-1.108
Chisinau,p2,1991,2020,10,37.4,25.4,10.1,5.08,14.99,-0.74
Chisinau,p2,1991,2020,11,42.2,24.8,4.22,-0.73,9.29,-0.135
Chisinau,p2,1991,2020,12,35.0,24.1,-0.81,-4.99,3.23,0.645
Comrat,full,1961,2020,1,38.1,31.5,-1.54,-5.58,2.48,1.17
Comrat,full,1961,2020,2,28.2,16.5,0.23,-3.71,4.22,1.288
Comrat,full,1961,2020,3,31.2,25.1,5.54,0.6,10.47,1.063
Comrat,full,1961,2020,4,35.8,23.3,12.75,6.72,18.64,0.467
Comrat,full,1961,2020,5,46.0,30.8,17.87,11.91,23.74,-0.149
Comrat,full,1961,2020,6,64.1,49.3,21.41,15.43,27.54,-0.572
Comrat,full,1961,2020,7,60.0,39.1,23.28,17.36,29.27,-0.832
Comrat,full,1961,2020,8,48.4,29.9,22.84,16.8,28.86,-1.037
Comrat,full,1961,2020,9,37.4,26.1,17.34,11.41,23.31,-1.095
Comrat,full,1961,2020,10,33.4,25.1,11.26,6.21,16.26,-0.79
Comrat,full,1961,2020,11,36.9,29.7,5.17,0.2,10.17,-0.089
Comrat,full,1961,2020,12,32.0,29.4,0.35,-3.59,4.43,0.615
Comrat,p1,1961,1990,1,38.4,37.9,-1.6,-5.5,2.46,1.121
Comrat,p1,1961,1990,2,26.5,15.9,0.17,-3.72,4.14,1.282
Comrat,p1,1961,1990,3,32.3,28.2,5.19,0.27,10.13,1.077
Comrat,p1,1961,1990,4,34.0,26.8,12.9,6.9,18.76,0.455
Comrat,p1,1961,1990,5,41.4,27.2,18.09,12.11,23.87,-0.198
Comrat,p1,1961,1990,6,69.2,49.9,21.43,15.48,27.53,-0.602
Comrat,p1,1961,1990,7,60.1,37.1,23.25,17.28,29.28,-0.836
Comrat,p1,1961,1990,8,45.5,31.2,22.85,16.83,28.91,-1.016
Comrat,p1,1961,1990,9,39.8,30.2,17.31,11.46,23.3,-1.096
Comrat,p1,1961,1990,10,32.4,23.1,11.52,6.5,16.49,-0.814
Comrat,p1,1961,1990,11,31.7,19.3,5.19,0.24,10.22,-0.134
Comrat,p1,1961,1990,12,31.7,33.3,0.27,-3.69,4.34,0.545
Comrat,p2,1991,2020,1,37.8,24.2,-1.48,-5.66,2.51,1.218
Comrat,p2,1991,2020,2,29.8,17.1,0.28,-3.7,4.3,1.294
Comrat,p2,1991,2020,3,30.2,21.9,5.89,0.94,10.81,1.049
Comrat,p2,1991,2020,4,37.5,19.4,12.6,6.54,18.53,0.479
Comrat,p2,1991,2020,5,50.7,33.8,17.65,11.71,23.61,-0.099
Comrat,p2,1991,2020,6,59.0,48.9,21.38,15.37,27.55,-0.543
Comrat,p2,1991,2020,7,60.0,41.7,23.32,17.45,29.27,-0.827
Comrat,p2,1991,2020,8,51.3,28.7,22.83,16.77,28.81,-1.058
Comrat,p2,1991,2020,9,34.9,21.5,17.38,11.36,23.32,-1.094
Comrat,p2,1991,2020,10,34.5,27.3,11.01,5.93,16.04,-0.766
Comrat,p2,1991,2020,11,42.1,37.0,5.14,0.17,10.13,-0.043
Comrat,p2,1991,2020,12,32.3,25.6,0.44,-3.49,4.51,0.686
Cornesti,full,1961,2020,1,37.6,26.7,-3.24,-7.23,0.74,1.156
Cornesti,full,1961,2020,2,28.5,19.8,-1.19,-5.22,2.73,1.187
Cornesti,full,1961,2020,3,27.5,19.9,4.12,-0.94,9.04,0.991
Cornesti,full,1961,2020,4,38.7,25.5,11.0,5.07,16.84,0.452
Cornesti,full,1961,2020,5,58.6,46.4,15.74,9.79,21.71,-0.023
Cornesti,full,1961,2020,6,60.7,37.7,19.67,13.74,25.69,-0.469
Cornesti,full,1961,2020,7,66.6,49.1,21.88,15.83,27.87,-0.734
Cornesti,full,1961,2020,8,50.6,39.5,21.01,15.05,27.0,-1.078
Cornesti,full,1961,2020,9,39.1,21.4,16.05,10.06,21.95,-1.114
Cornesti,full,1961,2020,10,33.1,16.9,10.11,5.15,15.19,-0.861
