station,year,precip_annual_sum,t_med_annual_mean,t_max_annual_mean,t_min_annual_mean,spei3_annual_mean,n_months,pct_dry,pct_wet,pct_normal
Baltata,2003,510.8,9.48,14.81,4.08,-0.06,12,16.7,16.7,66.7
Baltata,2004,570.0,10.73,15.87,5.34,0.04,12,16.7,16.7,66.7
Baltata,2005,572.8,9.5,14.75,4.33,0.13,12,16.7,8.3,75.0
Baltata,2006,506.3,9.51,14.79,4.18,-0.13,12,33.3,25.0,41.7
Baltata,2007,568.6,9.54,14.8,4.45,0.16,12,0.0,8.3,91.7
Baltata,2008,502.4,9.62,14.78,4.51,-0.04,12,25.0,0.0,75.0
Baltata,2009,407.8,9.57,14.97,4.2,-0.34,12,33.3,0.0,66.7
Baltata,2010,376.2,9.59,14.93,4.42,-0.33,12,25.0,8.3,66.7
Baltata,2011,641.5,9.77,15.02,4.53,0.24,12,8.3,16.7,75.0
Baltata,2012,629.3,9.54,14.95,4.4,0.14,12,8.3,16.7,75.0
Baltata,2013,585.7,9.67,14.98,4.31,0.11,12,25.0,33.3,41.7
Baltata,2014,448.3,9.92,15.15,4.58,-0.22,12,25.0,16.7,58.3
Baltata,2015,691.6,10.39,15.52,5.18,0.31,12,0.0,8.3,91.7
Baltata,2016,625.3,8.38,13.89,3.23,0.19,12,0.0,16.7,83.3
Baltata,2017,645.5,10.77,16.09,5.52,0.28,12,16.7,25.0,58.3
Baltata,2018,515.5,9.55,14.92,4.49,-0.1,12,8.3,0.0,91.7
Baltata,2019,682.2,8.88,14.23,3.85,0.38,12,0.0,25.0,75.0
Baltata,2020,405.5,9.33,14.31,4.08,-0.26,12,25.0,0.0,75.0
Balti,1961,349.5,9.92,15.09,4.73,-0.66,10,30.0,0.0,70.0
Balti,1962,558.1,10.22,15.42,5.16,-0.07,12,25.0,33.3,41.7
Balti,1963,536.4,8.98,14.48,3.8,0.15,12,8.3,8.3,83.3
Balti,1964,586.1,9.6,14.86,4.47,0.16,12,16.7,25.0,58.3
Balti,1965,497.2,9.38,14.79,4.21,-0.17,12,33.3,25.0,41.7
Balti,1966,841.9,9.62,14.87,4.43,0.71,12,0.0,41.7,58.3
Balti,1967,485.6,9.26,14.37,3.88,0.04,12,8.3,16.7,75.0
Balti,1968,454.7,9.93,15.16,4.91,-0.14,12,25.0,16.7,58.3
Balti,1969,511.7,10.38,15.44,5.18,-0.14,12,8.3,0.0,91.7
Balti,1970,467.8,9.5,14.9,4.43,-0.17,12,33.3,8.3,58.3
Balti,1971,439.3,8.99,14.34,4.05,0.02,12,8.3,8.3,83.3
Balti,1972,492.4,10.16,15.37,5.2,-0.13,12,16.7,8.3,75.0
Balti,1973,391.6,10.57,15.72,5.4,-0.42,12,41.7,8.3,50.0
Balti,1974,467.6,10.64,15.76,5.48,-0.28,12,25.0,8.3,66.7
Balti,1975,510.9,9.69,14.84,4.36,-0.05,12,16.7,8.3,75.0
Balti,1976,579.4,9.26,14.56,3.87,0.2,12,25.0,33.3,41.7
Balti,1977,600.2,9.89,15.13,4.68,0.14,12,16.7,25.0,58.3
Balti,1978,614.2,9.93,15.12,4.83,0.15,12,8.3,8.3,83.3
Balti,1979,500.6,9.71,14.95,4.46,-0.06,12,16.7,16.7,66.7
Balti,1980,555.8,10.02,15.2,4.53,0.12,12,0.0,16.7,83.3
Balti,1981,406.0,9.76,14.94,4.44,-0.37,12,41.7,8.3,50.0
Balti,1982,578.0,10.16,15.47,4.84,0.05,12,16.7,33.3,50.0
Balti,1983,548.7,10.63,15.88,5.26,0.12,12,8.3,25.0,66.7
Balti,1984,377.0,11.12,16.37,5.78,-0.58,12,41.7,0.0,58.3
Balti,1985,607.3,10.02,15.38,4.82,0.25,12,16.7,16.7,66.7
Balti,1986,596.6,10.3,15.4,5.06,-0.11,12,25.0,16.7,58.3
Balti,1987,571.0,7.46,12.96,2.32,0.5,12,0.0,33.3,66.7
Balti,1988,563.9,9.82,15.13,4.39,0.15,12,8.3,16.7,75.0
Balti,1989,559.9,9.15,14.49,4.02,0.24,12,16.7,25.0,58.3
Balti,1990,527.6,10.91,15.9,5.7,-0.26,12,41.7,33.3,25.0
Balti,1991,479.4,9.28,14.6,4.09,0.08,12,25.0,25.0,50.0
Balti,1992,513.7,10.15,15.47,4.86,-0.07,12,25.0,25.0,50.0
Balti,1993,510.9,9.92,15.21,4.71,-0.02,12,25.0,25.0,50.0
Balti,1994,359.3,9.57,14.73,4.36,-0.36,12,41.7,8.3,50.0
Balti,1995,538.4,9.73,14.89,4.58,0.06,12,0.0,25.0,75.0
Balti,1996,632.2,9.95,15.02,4.48,0.15,12,8.3,16.7,75.0
Balti,1997,522.4,9.52,14.84,4.35,-0.04,12,25.0,16.7,58.3
Balti,1998,778.4,10.85,15.9,5.52,0.51,12,0.0,33.3,66.7
Balti,1999,402.0,9.54,14.71,4.43,-0.3,12,25.0,0.0,75.0
Balti,2000,514.2,9.14,14.84,4.04,0.05,12,0.0,25.0,75.0
Balti,2001,492.0,10.16,15.43,4.92,-0.15,12,33.3,16.7,50.0
Balti,2002,599.1,9.56,15.0,4.38,0.22,12,16.7,33.3,50.0
Balti,2003,505.5,9.1,14.32,3.87,-0.05,12,8.3,0.0,91.7
Balti,2004,507.5,8.09,13.45,3.28,0.16,12,16.7,33.3,50.0
Balti,2005,671.0,10.19,15.18,4.77,0.29,12,8.3,16.7,75.0
Balti,2006,499.2,9.12,14.63,3.96,-0.05,12,33.3,25.0,41.7
Balti,2007,456.3,9.59,14.82,4.53,-0.02,12,0.0,16.7,83.3
Balti,2008,749.2,10.09,15.52,4.93,0.49,12,16.7,33.3,50.0
Balti,2009,460.3,9.28,14.78,3.87,-0.18,12,25.0,0.0,75.0
Balti,2010,590.6,10.44,15.67,5.27,0.19,12,0.0,25.0,75.0
Balti,2011,619.4,9.89,15.22,4.8,0.19,12,0.0,16.7,83.3
Balti,2012,541.5,10.39,15.53,5.14,-0.09,12,16.7,0.0,83.3
Balti,2013,478.1,10.52,15.84,5.21,-0.15,12,33.3,25.0,41.7
Balti,2014,458.5,9.67,14.81,4.45,-0.22,12,16.7,16.7,66.7
Balti,2015,473.0,8.72,14.08,3.45,0.01,12,25.0,16.7,58.3
Balti,2016,610.4,10.12,15.48,4.97,0.1,12,0.0,16.7,83.3
Balti,2017,507.5,9.73,15.14,4.7,0.09,12,16.7,25.0,58.3
Balti,2018,310.9,9.09,14.48,4.17,-0.49,12,41.7,0.0,58.3
Balti,2019,703.8,9.42,14.79,4.3,0.39,12,0.0,25.0,75.0
Balti,2020,397.1,9.58,14.82,4.41,-0.28,12,41.7,25.0,33.3
Bravicea,1961,654.4,9.86,14.96,4.53,-0.06,10,30.0,30.0,40.0
Bravicea,1962,648.5,9.44,14.83,4.24,0.43,12,0.0,25.0,75.0
Bravicea,1963,806.3,10.23,15.41,4.82,0.65,12,16.7,50.0,33.3
Bravicea,1964,503.4,9.98,15.06,4.62,-0.09,12,50.0,25.0,25.0
Bravicea,1965,413.9,9.75,15.13,4.52,-0.37,12,25.0,0.0,75.0
Bravicea,1966,501.9,9.33,14.58,4.31,-0.03,12,25.0,16.7,58.3
Bravicea,1967,460.1,10.31,15.45,5.16,-0.34,12,41.7,0.0,58.3
Bravicea,1968,589.0,10.49,15.66,5.03,0.03,12,8.3,8.3,83.3
Bravicea,1969,661.6,9.28,14.57,3.98,0.25,12,8.3,16.7,75.0
Bravicea,1970,363.8,9.77,15.12,4.62,-0.31,12,33.3,16.7,50.0
Bravicea,1971,501.5,10.5,15.77,5.13,-0.26,12,25.0,25.0,50.0
Bravicea,1972,448.9,9.04,14.36,3.82,-0.08,12,8.3,16.7,75.0
Bravicea,1973,760.4,9.99,15.26,4.72,0.42,12,0.0,25.0,75.0
Bravicea,1974,456.8,11.35,16.5,5.97,-0.37,12,25.0,0.0,75.0
Bravicea,1975,533.9,10.54,15.85,5.34,-0.19,12,33.3,8.3,58.3
Bravicea,1976,623.1,9.54,14.81,4.29,0.17,12,25.0,41.7,33.3
Bravicea,1977,347.8,8.4,14.0,3.24,-0.29,12,33.3,8.3,58.3
Bravicea,1978,570.6,10.22,15.4,5.07,-0.03,12,16.7,16.7,66.7
Bravicea,1979,686.5,10.06,15.49,4.74,0.34,12,25.0,33.3,41.7
Bravicea,1980,402.7,10.17,15.58,4.81,-0.38,12,33.3,0.0,66.7
Bravicea,1981,462.2,10.13,15.39,4.92,-0.36,12,25.0,0.0,75.0
Bravicea,1982,984.2,10.68,15.9,5.35,1.0,12,0.0,58.3,41.7
Bravicea,1983,624.0,9.1,14.63,3.77,0.14,12,25.0,25.0,50.0
Bravicea,1984,396.7,10.39,15.68,4.98,-0.33,12,33.3,16.7,50.0
Bravicea,1985,661.8,9.69,14.91,4.52,0.35,12,8.3,25.0,66.7
Bravicea,1986,463.7,9.78,15.3,4.54,-0.22,12,33.3,16.7,50.0
Bravicea,1987,533.0,9.65,14.8,4.4,0.1,12,0.0,16.7,83.3
Bravicea,1988,373.0,9.57,14.61,4.38,-0.48,12,41.7,0.0,58.3
Bravicea,1989,472.7,9.45,14.83,4.03,-0.07,12,8.3,16.7,75.0
Bravicea,1990,373.8,8.53,13.72,3.37,-0.34,12,41.7,8.3,50.0
Bravicea,1991,496.0,9.75,15.15,4.49,-0.15,12,33.3,33.3,33.3
Bravicea,1992,683.3,9.94,15.21,4.78,0.37,12,8.3,25.0,66.7
Bravicea,1993,792.9,11.46,16.42,6.28,0.4,12,0.0,33.3,66.7
Bravicea,1994,732.1,10.24,15.3,4.98,0.45,12,8.3,16.7,75.0
Bravicea,1995,462.0,10.52,15.85,5.24,-0.27,12,16.7,0.0,83.3
Bravicea,1996,497.7,10.81,15.88,5.61,-0.29,12,25.0,0.0,75.0
Bravicea,1997,444.7,8.9,13.96,3.68,-0.16,12,25.0,25.0,50.0
Bravicea,1998,424.6,9.07,14.36,3.86,-0.18,12,8.3,0.0,91.7
Bravicea,1999,605.7,9.68,14.99,4.37,-0.1,12,25.0,25.0,50.0
Bravicea,2000,545.0,9.45,14.73,4.24,0.18,12,16.7,16.7,66.7
Bravicea,2001,395.1,9.15,14.48,3.87,-0.3,12,25.0,0.0,75.0
Bravicea,2002,440.1,9.24,14.58,4.1,-0.14,12,25.0,16.7,58.3
Bravicea,2003,504.5,9.67,14.83,4.51,-0.12,12,16.7,8.3,75.0
Bravicea,2004,526.7,11.11,16.12,5.75,-0.19,12,16.7,16.7,66.7
Bravicea,2005,761.6,10.49,15.59,5.19,0.39,12,8.3,16.7,75.0
Bravicea,2006,523.9,9.96,15.13,4.82,-0.01,12,33.3,25.0,41.7
Bravicea,2007,622.9,9.01,14.29,4.03,0.2,12,16.7,33.3,50.0
Bravicea,2008,515.9,9.49,14.53,4.18,0.04,12,16.7,16.7,66.7
Bravicea,2009,570.0,9.71,14.87,4.54,0.01,12,0.0,0.0,100.0
Bravicea,2010,603.5,9.53,14.78,4.26,0.16,12,0.0,0.0,100.0
Bravicea,2011,787.9,10.22,15.34,4.9,0.6,12,0.0,25.0,75.0
Bravicea,2012,470.7,9.92,15.03,4.86,-0.16,12,25.0,25.0,50.0
Bravicea,2013,797.5,9.32,14.63,4.1,0.69,12,0.0,33.3,66.7
Bravicea,2014,506.7,9.02,14.4,3.91,0.02,12,16.7,8.3,75.0
Bravicea,2015,457.3,9.14,14.42,3.78,-0.09,12,8.3,16.7,75.0
Bravicea,2016,453.2,9.38,14.33,4.0,-0.16,12,8.3,0.0,91.7
Bravicea,2017,638.4,8.98,14.48,3.78,0.22,12,25.0,33.3,41.7
Bravicea,2018,548.4,9.75,15.02,4.65,0.01,12,25.0,25.0,50.0
Bravicea,2019,306.4,9.06,14.49,3.79,-0.5,12,41.7,16.7,41.7
Bravicea,2020,505.8,9.42,14.84,4.21,-0.18,12,25.0,0.0,75.0
Briceni,1961,658.3,9.23,14.52,4.21,0.15,10,0.0,10.0,90.0
Briceni,1962,489.7,9.14,14.59,4.0,-0.07,12,16.7,0.0,83.3
Briceni,1963,548.9,10.32,15.57,4.88,-0.1,12,16.7,8.3,75.0
Briceni,1964,619.1,10.66,15.74,5.33,0.02,12,0.0,16.7,83.3
Briceni,1965,609.6,9.42,14.62,4.21,0.25,12,16.7,25.0,58.3
Briceni,1966,499.9,9.71,15.12,4.59,-0.12,12,16.7,25.0,58.3
Briceni,1967,315.0,10.98,16.21,5.71,-0.68,12,33.3,8.3,58.3
Briceni,1968,833.7,9.17,14.46,4.11,0.55,12,0.0,25.0,75.0
Briceni,1969,468.2,9.91,15.04,4.53,0.04,12,33.3,33.3,33.3
Briceni,1970,744.0,10.17,15.43,4.76,0.33,12,8.3,16.7,75.0
Briceni,1971,587.0,10.29,15.58,5.21,0.14,12,0.0,16.7,83.3
Briceni,1972,514.9,9.88,15.1,4.88,-0.0,12,8.3,25.0,66.7
Briceni,1973,508.3,10.19,15.5,5.07,-0.24,12,41.7,8.3,50.0
Briceni,1974,418.5,9.16,14.32,3.91,-0.14,12,33.3,16.7,50.0
Briceni,1975,365.5,10.03,15.14,4.84,-0.5,12,33.3,0.0,66.7
Briceni,1976,565.3,10.74,15.95,5.57,-0.06,12,25.0,25.0,50.0
Briceni,1977,931.6,10.5,15.59,5.18,0.8,12,0.0,41.7,58.3
Briceni,1978,653.8,10.19,15.58,4.93,0.25,12,8.3,25.0,66.7
Briceni,1979,456.7,9.58,14.68,4.38,-0.19,12,25.0,0.0,75.0
Briceni,1980,559.3,9.18,14.42,4.08,0.08,12,0.0,8.3,91.7
Briceni,1981,521.6,9.64,14.99,4.48,-0.08,12,25.0,25.0,50.0
Briceni,1982,701.8,10.72,15.97,5.35,0.24,12,0.0,8.3,91.7
Briceni,1983,511.5,9.99,15.57,4.69,-0.02,12,16.7,16.7,66.7
Briceni,1984,554.5,9.31,14.46,4.11,0.05,12,0.0,0.0,100.0
Briceni,1985,611.1,10.15,15.38,5.16,0.13,12,8.3,16.7,75.0
Briceni,1986,385.8,9.22,14.56,3.95,-0.43,12,41.7,8.3,50.0
Briceni,1987,643.9,9.77,15.02,4.53,0.28,12,8.3,25.0,66.7
Briceni,1988,550.9,10.25,15.46,5.24,0.02,12,0.0,8.3,91.7
Briceni,1989,555.9,10.47,15.57,5.21,-0.22,12,33.3,16.7,50.0
Briceni,1990,496.7,9.54,14.67,4.25,0.0,12,16.7,16.7,66.7
Briceni,1991,464.0,9.93,15.31,4.64,-0.19,12,8.3,0.0,91.7
Briceni,1992,467.9,9.57,14.98,4.21,-0.09,12,16.7,0.0,83.3
Briceni,1993,394.3,8.4,13.82,3.53,-0.3,12,16.7,0.0,83.3
Briceni,1994,486.6,9.62,14.84,4.26,-0.23,12,8.3,0.0,91.7
Briceni,1995,505.5,10.64,15.77,5.37,-0.14,12,41.7,33.3,25.0
Briceni,1996,737.6,10.2,15.28,4.78,0.33,12,8.3,25.0,66.7
Briceni,1997,609.5,8.06,13.46,3.08,0.44,12,0.0,25.0,75.0
Briceni,1998,783.0,9.22,14.45,4.08,0.57,12,16.7,50.0,33.3
Briceni,1999,627.3,10.48,15.71,5.28,0.1,12,16.7,16.7,66.7
Briceni,2000,330.5,10.03,15.18,4.6,-0.54,12,33.3,8.3,58.3
Briceni,2001,587.5,11.61,16.68,6.25,-0.03,12,8.3,16.7,75.0
Briceni,2002,528.3,10.4,15.61,5.05,-0.1,12,16.7,16.7,66.7
Briceni,2003,505.6,9.78,15.12,4.54,-0.16,12,33.3,25.0,41.7
Briceni,2004,608.6,9.77,15.09,4.68,0.18,12,25.0,41.7,33.3
Briceni,2005,350.7,10.0,15.13,4.69,-0.45,12,33.3,8.3,58.3
Briceni,2006,530.1,10.01,15.45,4.45,-0.08,12,33.3,16.7,50.0
Briceni,2007,646.2,9.67,14.96,4.39,0.28,12,8.3,33.3,58.3
Briceni,2008,535.2,10.56,15.69,4.97,-0.16,12,25.0,25.0,50.0
Briceni,2009,651.9,10.08,15.28,4.9,0.18,12,0.0,16.7,83.3
Briceni,2010,379.7,10.18,15.68,4.85,-0.53,12,41.7,25.0,33.3
Briceni,2011,812.8,10.43,15.5,5.22,0.62,12,0.0,41.7,58.3
Briceni,2012,472.5,9.03,14.3,3.99,-0.17,12,33.3,16.7,50.0
Briceni,2013,513.7,9.27,14.73,3.87,-0.04,12,8.3,16.7,75.0
Briceni,2014,684.4,11.08,16.38,5.85,0.11,12,16.7,16.7,66.7
Briceni,2015,780.8,9.13,14.09,3.98,0.73,12,0.0,41.7,58.3
Briceni,2016,437.9,10.02,15.3,4.82,-0.2,12,33.3,16.7,50.0
Briceni,2017,685.9,9.9,15.08,4.63,0.28,12,8.3,25.0,66.7
Briceni,2018,524.1,9.74,14.86,4.48,-0.17,12,25.0,8.3,66.7
Briceni,2019,437.6,9.62,14.81,4.48,-0.28,12,41.7,16.7,41.7
Briceni,2020,420.6,10.59,15.86,5.32,-0.42,12,33.3,16.7,50.0
Cahul,1961,511.7,11.29,16.62,6.35,-0.03,10,20.0,10.0,70.0
Cahul,1962,438.3,12.15,17.32,6.84,-0.23,12,25.0,8.3,66.7
Cahul,1963,572.8,11.06,16.17,5.73,0.2,12,16.7,25.0,58.3
Cahul,1964,422.1,11.34,16.74,6.05,0.02,12,16.7,16.7,66.7
Cahul,1965,432.3,11.35,16.52,5.96,-0.13,12,25.0,16.7,58.3
Cahul,1966,358.7,11.29,16.57,6.13,-0.28,12,25.0,8.3,66.7
Cahul,1967,655.4,10.75,15.96,5.62,0.5,12,0.0,16.7,83.3
Cahul,1968,617.8,12.4,17.58,7.16,0.08,12,25.0,25.0,50.0
Cahul,1969,665.6,10.58,15.96,5.43,0.71,12,0.0,16.7,83.3
Cahul,1970,578.1,12.31,17.32,7.22,0.14,12,25.0,25.0,50.0
Cahul,1971,403.6,10.42,15.79,5.23,-0.1,12,25.0,8.3,66.7
Cahul,1972,464.2,11.81,17.21,6.6,-0.07,12,33.3,25.0,41.7
Cahul,1973,478.5,11.67,16.78,6.42,0.0,12,0.0,8.3,91.7
Cahul,1974,532.3,10.73,16.11,5.64,0.21,12,8.3,25.0,66.7
Cahul,1975,259.6,11.54,16.92,6.35,-0.46,12,41.7,0.0,58.3
Cahul,1976,399.4,11.08,16.35,5.92,-0.12,12,33.3,8.3,58.3
Cahul,1977,298.3,11.32,16.81,6.08,-0.37,12,41.7,25.0,33.3
Cahul,1978,539.6,11.98,17.27,6.8,0.06,12,8.3,16.7,75.0
Cahul,1979,404.5,11.34,16.77,6.01,-0.16,12,16.7,16.7,66.7
Cahul,1980,521.1,12.02,17.42,6.96,0.04,12,16.7,8.3,75.0
Cahul,1981,498.9,11.29,16.59,5.92,0.05,12,33.3,25.0,41.7
Cahul,1982,489.6,11.79,16.99,6.42,-0.01,12,8.3,0.0,91.7
Cahul,1983,430.3,12.0,17.12,6.74,-0.25,12,33.3,0.0,66.7
Cahul,1984,424.3,12.51,17.67,7.44,-0.24,12,16.7,16.7,66.7
Cahul,1985,462.7,12.63,17.75,7.17,-0.16,12,33.3,16.7,50.0
Cahul,1986,465.6,11.96,17.42,6.72,0.0,12,8.3,16.7,75.0
Cahul,1987,541.4,11.69,17.01,6.4,0.06,12,0.0,0.0,100.0
Cahul,1988,563.0,11.57,17.02,6.22,0.2,12,16.7,25.0,58.3
Cahul,1989,384.2,11.4,16.51,6.1,-0.12,12,25.0,16.7,58.3
Cahul,1990,498.7,11.52,16.81,6.27,-0.02,12,25.0,25.0,50.0
Cahul,1991,493.2,11.14,16.51,5.79,0.15,12,0.0,25.0,75.0
Cahul,1992,332.1,13.17,18.11,7.88,-0.54,12,41.7,8.3,50.0
Cahul,1993,495.3,11.7,16.91,6.35,0.06,12,25.0,41.7,33.3
Cahul,1994,644.1,11.7,16.94,6.37,0.24,12,8.3,25.0,66.7
Cahul,1995,432.8,11.38,16.9,6.32,-0.01,12,16.7,16.7,66.7
Cahul,1996,321.8,12.43,17.56,7.07,-0.53,12,41.7,0.0,58.3
Cahul,1997,566.2,11.39,16.63,6.31,0.28,12,8.3,25.0,66.7
Cahul,1998,475.1,11.96,17.36,6.46,-0.03,12,25.0,25.0,50.0
Cahul,1999,361.5,11.48,16.91,6.28,-0.24,12,25.0,0.0,75.0
Cahul,2000,374.6,10.98,16.28,5.69,-0.33,12,33.3,8.3,58.3
Cahul,2001,541.6,11.03,16.51,5.81,0.27,12,8.3,33.3,58.3
Cahul,2002,552.9,10.71,16.07,5.53,0.18,12,25.0,41.7,33.3
Cahul,2003,395.0,10.69,16.18,5.43,0.06,12,25.0,25.0,50.0
Cahul,2004,628.8,11.02,16.18,5.92,0.4,12,0.0,25.0,75.0
Cahul,2005,429.6,11.31,16.79,6.03,-0.08,12,8.3,16.7,75.0
Cahul,2006,478.5,11.01,16.46,5.92,0.04,12,16.7,0.0,83.3
Cahul,2007,525.6,11.22,16.5,6.09,0.11,12,0.0,25.0,75.0
Cahul,2008,502.7,11.09,16.57,5.8,0.08,12,0.0,25.0,75.0
Cahul,2009,445.3,11.67,16.99,6.44,0.02,12,0.0,16.7,83.3
Cahul,2010,581.8,11.29,16.68,6.15,0.25,12,0.0,8.3,91.7
Cahul,2011,538.3,11.91,17.21,6.86,0.06,12,8.3,16.7,75.0
Cahul,2012,454.6,10.87,16.15,5.58,0.06,12,25.0,25.0,50.0
Cahul,2013,334.9,12.43,17.4,7.18,-0.37,12,41.7,16.7,41.7
Cahul,2014,401.1,10.68,16.14,5.51,-0.07,12,33.3,25.0,41.7
Cahul,2015,588.7,12.11,17.5,6.98,0.06,12,16.7,0.0,83.3
Cahul,2016,672.7,13.34,18.41,7.82,0.22,12,16.7,33.3,50.0
Cahul,2017,516.7,11.2,16.52,6.08,0.06,12,25.0,16.7,58.3
Cahul,2018,423.9,11.3,16.62,6.14,-0.02,12,33.3,25.0,41.7
Cahul,2019,531.6,11.23,16.4,6.08,0.18,12,8.3,8.3,83.3
Cahul,2020,418.3,11.35,16.66,6.0,-0.09,12,25.0,25.0,50.0
Camenca,1961,602.8,10.31,15.57,5.12,-0.1,10,0.0,0.0,100.0
Camenca,1962,628.8,10.5,15.7,5.28,0.11,12,25.0,8.3,66.7
Camenca,1963,680.1,10.29,15.52,5.2,0.27,12,25.0,33.3,41.7
Camenca,1964,304.0,9.33,14.68,4.16,-0.56,12,41.7,16.7,41.7
Camenca,1965,649.2,9.09,14.7,4.02,0.43,12,0.0,25.0,75.0
Camenca,1966,739.0,10.44,15.59,5.23,0.43,12,8.3,33.3,58.3
Camenca,1967,555.2,9.47,14.9,4.28,0.14,12,8.3,25.0,66.7
Camenca,1968,454.6,10.11,15.38,4.87,-0.27,12,25.0,0.0,75.0
Camenca,1969,575.7,9.51,14.84,4.32,0.01,12,25.0,8.3,66.7
Camenca,1970,523.5,9.55,14.8,4.38,0.08,12,25.0,25.0,50.0
Camenca,1971,656.5,9.28,14.62,4.08,0.31,12,8.3,25.0,66.7
Camenca,1972,308.9,10.46,15.7,5.08,-0.72,12,41.7,0.0,58.3
Camenca,1973,417.0,10.81,15.98,5.58,-0.47,12,41.7,16.7,41.7
Camenca,1974,453.6,9.23,14.48,3.96,-0.18,12,25.0,0.0,75.0
Camenca,1975,496.4,10.39,15.6,5.23,-0.22,12,41.7,25.0,33.3
Camenca,1976,734.4,8.91,14.35,3.87,0.65,12,0.0,50.0,50.0
Camenca,1977,639.6,8.98,14.28,3.86,0.48,12,0.0,33.3,66.7
Camenca,1978,431.7,10.36,15.46,5.13,-0.29,12,16.7,8.3,75.0
Camenca,1979,729.4,9.91,14.98,4.73,0.43,12,8.3,41.7,50.0
Camenca,1980,406.2,9.72,15.0,4.47,-0.32,12,33.3,8.3,58.3
Camenca,1981,557.8,9.38,14.48,4.18,0.03,12,33.3,25.0,41.7
Camenca,1982,579.1,9.42,14.57,4.26,0.09,12,16.7,16.7,66.7
Camenca,1983,444.3,9.4,14.8,4.27,-0.15,12,8.3,0.0,91.7
Camenca,1984,434.5,9.41,14.58,4.17,-0.26,12,25.0,8.3,66.7
Camenca,1985,413.9,10.21,15.44,4.99,-0.31,12,25.0,16.7,58.3
